M	14:00:00	14:50:00	LATT 110	12828
W	14:00:00	14:50:00	LATT 110	12828
F	14:00:00	14:50:00	LATT 110	12828
M	09:00:00	09:50:00	LCHAS 148	12832
W	09:00:00	09:50:00	LCHAS 148	12832
F	09:00:00	09:50:00	LCHAS 148	12832
M	08:00:00	08:50:00	LATT 110	12849
W	08:00:00	08:50:00	LATT 110	12849
F	08:00:00	08:50:00	LATT 110	12849
M	10:25:00	11:15:00	LCHAS 148	12855
W	10:25:00	11:15:00	LCHAS 148	12855
F	10:25:00	11:15:00	LCHAS 148	12855
M	09:00:00	09:50:00	LATT 110	12861
W	09:00:00	09:50:00	LATT 110	12861
F	09:00:00	09:50:00	LATT 110	12861
M	10:25:00	11:15:00	LATT 110	12876
W	10:25:00	11:15:00	LATT 110	12876
F	10:25:00	11:15:00	LATT 110	12876
M	18:15:00	19:05:00	LATT 110	12887
T	18:15:00	19:05:00	LATT 110	12887
R	18:15:00	19:05:00	LATT 110	12887
M	11:50:00	12:40:00	LCHAS 148	12893
W	11:50:00	12:40:00	LCHAS 148	12893
F	11:50:00	12:40:00	LCHAS 148	12893
M	16:50:00	17:40:00	LATT 110	12902
T	16:50:00	17:40:00	LATT 110	12902
R	16:50:00	17:40:00	LATT 110	12902
M	14:00:00	14:50:00	LCHAS 148	12917
W	14:00:00	14:50:00	LCHAS 148	12917
F	14:00:00	14:50:00	LCHAS 148	12917
M	11:50:00	13:05:00	LATT 110	12926
W	11:50:00	13:05:00	LATT 110	12926
M	12:30:00	13:45:00	LCHAS 141	12934
W	12:30:00	13:45:00	LCHAS 141	12934
T	11:05:00	12:20:00	LCHAS 148	12943
R	11:05:00	12:20:00	LCHAS 148	12943
T	14:00:00	15:15:00	LCHAS 148	12951
R	14:00:00	15:15:00	LCHAS 148	12951
T	12:30:00	13:45:00	LCHAS 148	12965
R	12:30:00	13:45:00	LCHAS 148	12965
M	12:30:00	13:45:00	LCHAS 143	12978
W	12:30:00	13:45:00	LCHAS 143	12978
T	14:00:00	15:15:00	LATT 110	12980
R	14:00:00	15:15:00	LATT 110	12980
T	11:05:00	12:20:00	LATT 110	12999
R	11:05:00	12:20:00	LATT 110	12999
M	12:30:00	13:45:00	LCHAS 160	13004
W	12:30:00	13:45:00	LCHAS 160	13004
T	09:40:00	10:55:00	LATT 110	13010
R	09:40:00	10:55:00	LATT 110	13010
T	15:25:00	16:40:00	LATT 110	13028
R	15:25:00	16:40:00	LATT 110	13028
M	14:00:00	15:15:00	STRNG LOWER	13032
W	14:00:00	15:15:00	STRNG LOWER	13032
T	12:30:00	13:45:00	LATT 110	13049
R	12:30:00	13:45:00	LATT 110	13049
T	14:00:00	15:15:00	HUTCH 140	13109
R	14:00:00	15:15:00	HUTCH 140	13109
T	11:05:00	12:20:00	DEWEY 2110E	13158
R	11:05:00	12:20:00	DEWEY 2110E	13158
T	11:05:00	12:20:00	B&L 270	13185
R	11:05:00	12:20:00	B&L 270	13185
T	09:40:00	10:55:00	HUTCH 141	13918
R	09:40:00	10:55:00	HUTCH 141	13918
M	15:25:00	16:40:00	HUTCH 141	13920
W	15:25:00	16:40:00	HUTCH 141	13920
T	11:05:00	12:20:00	DEWEY 1101	13936
R	11:05:00	12:20:00	DEWEY 1101	13936
M	14:00:00	15:15:00	STRNG LOWER	13947
W	14:00:00	15:15:00	STRNG LOWER	13947
M	14:00:00	15:15:00	HOYT AUD	13954
W	14:00:00	15:15:00	HOYT AUD	13954
M	14:00:00	15:15:00	MOREY 525	13963
W	14:00:00	15:15:00	MOREY 525	13963
T	12:30:00	16:40:00	MEL 111	13989
T	14:00:00	15:15:00	MEL 269	13991
R	14:00:00	15:15:00	MEL 269	13991
M	10:25:00	11:15:00	STRNG LOWER	14012
W	10:25:00	11:15:00	STRNG LOWER	14012
F	10:25:00	11:15:00	STRNG LOWER	14012
R	09:40:00	12:20:00	MEL 111	14029
W	14:00:00	16:40:00	MEL 111	14030
M	14:00:00	16:40:00	MEL 111	14048
T	09:40:00	12:20:00	MEL 111	14056
T	11:05:00	12:20:00	MEL 203	14067
R	11:05:00	12:20:00	MEL 203	14067
M	10:25:00	11:15:00	DEWEY 2110D	14075
W	10:25:00	11:15:00	DEWEY 2110D	14075
F	10:25:00	11:15:00	DEWEY 2110D	14075
T	12:30:00	13:45:00	MEL 203	14081
R	12:30:00	13:45:00	MEL 203	14081
M	16:50:00	18:05:00	MEL 366	14094
W	16:50:00	18:05:00	MEL 366	14094
M	10:25:00	11:15:00	STRNG LOWER	14204
W	10:25:00	11:15:00	STRNG LOWER	14204
